ulasan,processed_text
"transaksi gofood gabisa diproses karena kartu debit sedang eror, tapi saldo masih kepotong dan proses pengembaliannya lama bahkan gak balik sama sekali saldonya. di status transaksi batal dan dana sudah direfund, tapi gaada sama sekali masuk saldo dari mutasi rekening.","['transaksi', 'gofood', 'gabisa', 'proses', 'kartu', 'debit', 'eror', 'saldo', 'potong', 'proses', 'kembali', 'gak', 'saldo', 'status', 'transaksi', 'batal', 'dana', 'direfund', 'gaada', 'masuk', 'saldo', 'mutasi', 'rekening']"
"Agak kecewa sama aplikasi ini. Beberapa hr terakhir selalu tertunda tiap top-up saldo. Transaksi top-up berhasil, tapi saldo baru masuk 4-5 hr kemudian. Awalnya saya pikir krn masalah koneksi internet, tapi ternyata bukan. Mohon untuk ke depannya bisa di perbaiki lagi. Ini bakalan bikin masalah baru kalo top-upnya via mitra (e.g. Alf*mart, Ind*mart, atau yang sejenisnya). Pengalaman saya kemarin, struk top-upnya tercetak (artinya transaksi berhasil), tp ditunggu sampai 3 hr saldonya belum masuk.","['kecewa', 'aplikasi', 'hr', 'tunda', 'topup', 'saldo', 'transaksi', 'topup', 'hasil', 'saldo', 'masuk', 'hr', 'pikir', 'krn', 'koneksi', 'internet', 'mohon', 'depan', 'baik', 'bikin', 'kalo', 'topupnya', 'via', 'mitra', 'eg', 'alfmart', 'indmart', 'jenis', 'alam', 'kemarin', 'struk', 'topupnya', 'cetak', 'transaksi', 'hasil', 'tp', 'tunggu', 'hr', 'saldo', 'masuk']"
"setiap detik iklan, menggangu banget deh pokoknya tolong ya kalau mau giniin iklan jangan sampai setiap detik, saya sampai hapus berulang kali, untung aja ini aplikasi berguna jadi sya masih instal dan masih bermunculan iklan setiap detik","['detik', 'iklan', 'menggangu', 'banget', 'deh', 'pokok', 'tolong', 'ya', 'giniin', 'iklan', 'detik', 'hapus', 'ulang', 'kali', 'untung', 'aja', 'aplikasi', 'guna', 'sya', 'instal', 'muncul', 'iklan', 'detik']"
"tinggal 2menit lg driver sampe di lokasi tiba-tiba dibatalin otomatis sama aplikasinya!!! tau tau udah mencari driver yg baru, dan ini kejadian gak sekali dua kali tapi sering! map jg sering di arahin ke jalan yg sulit di lewati mobil!! alhasil banyak yg batalin! komplain via chat cuma bot doang, Kita yg mo complain gak bisa ketik sendiri masalahnya, mo complain lewat email atau tlp jg gak bisa!!! aplikasi gak niat terima komplain!!!","['tinggal', 'menit', 'lg', 'driver', 'sampe', 'lokasi', 'tibatiba', 'dibatalin', 'otomatis', 'aplikasi', 'tau', 'tau', 'udah', 'cari', 'driver', 'yg', 'jadi', 'gak', 'kali', 'map', 'jg', 'arahin', 'jalan', 'yg', 'sulit', 'lewat', 'mobil', 'alhasil', 'yg', 'batalin', 'komplain', 'via', 'chat', 'bot', 'doang', 'yg', 'mo', 'complain', 'gak', 'ketik', 'mo', 'complain', 'email', 'tlp', 'jg', 'gak', 'aplikasi', 'gak', 'niat', 'terima', 'komplain']"
"Gak usah pasang tarif tarif hemat, soalnya para driver nya gak ada yang mau ambil orderan, dengan alasan gak sesuai dengan harga, dan bahasa mereka merendahkan costumer, karena pesen yg paket hemat, trs knp di adain paket hemat, yg salah yg punya aplikasi lah, pengen kasih promo tapi para driver nya gak mau.","['gak', 'pasang', 'tarif', 'tarif', 'hemat', 'driver', 'nya', 'gak', 'ambil', 'order', 'alas', 'gak', 'sesuai', 'harga', 'bahasa', 'rendah', 'costumer', 'sen', 'yg', 'paket', 'hemat', 'trs', 'knp', 'adain', 'paket', 'hemat', 'yg', 'salah', 'yg', 'aplikasi', 'ken', 'kasih', 'promo', 'driver', 'nya', 'gak']"
"apk lelet, suka bermasalah sendiri padahal jaringan bagus buka yg lain tetep lancar. di tingkatkn lagi dong yg pakai seluruh indonesia tapi kualitas nya makin jeblok. niat mau cepet malah makin lama","['apk', 'lelet', 'suka', 'masalah', 'jaring', 'bagus', 'buka', 'yg', 'tetep', 'lancar', 'tingkatkn', 'yg', 'pakai', 'indonesia', 'kualitas', 'nya', 'jeblok', 'niat', 'cepet']"
"ada 3 vc nempel di gomart, sekalinya dipake terindikasi adanya pelanggaran, dan otomatis pembayaran normal dan tidak ada potongan harga. seharusnya kalau hanya boleh akses 1 vc, ya hanya diberi 1, bukan 3. dan ujungnya rugi belanja di gomart, barang juga sering kosong. nyusahin. tq","['vc', 'nempel', 'gomart', 'sekali', 'dipake', 'indikasi', 'langgar', 'otomatis', 'bayar', 'normal', 'potong', 'harga', 'akses', 'vc', 'ya', 'ujung', 'rugi', 'belanja', 'gomart', 'barang', 'kosong', 'nyusahin', 'tq']"
"Ongkir mahal, pajak aplikasi gede, biaya aplikasi juga gede , jarang ada voucher gratis ongkir padahal pengguna lama, durasi pesan antar bisa ampai sejam gak bisa dicancel, giliran detik-detik terakhir berharap cancel otomatis malah nyantol driver padahal udah ada opsi lain busuk","['ongkir', 'mahal', 'pajak', 'aplikasi', 'gede', 'biaya', 'aplikasi', 'gede', 'jarang', 'voucher', 'gratis', 'ongkir', 'guna', 'durasi', 'pesan', 'ampai', 'jam', 'gak', 'dicancel', 'gilir', 'detikdetik', 'harap', 'cancel', 'otomatis', 'nyantol', 'driver', 'udah', 'opsi', 'busuk']"
"susah untuk dpt driver walaupun di map ada banyak driver yg gak jalan, sekalinya hujan harga langsung melonjak drastis setiap merefresh, ada pilihan hemat namun harga lebih mahal daripada yg biasa dan percuma tidak akan ada driver yg ambil orderannya,sudah memilih dari yg murah sampai paling mahal namun tetap saja nihil🥴, dulu enak sekarang makin buruk","['susah', 'dpt', 'driver', 'map', 'driver', 'yg', 'gak', 'jalan', 'sekali', 'hujan', 'harga', 'langsung', 'lonjak', 'drastis', 'merefresh', 'pilih', 'hemat', 'harga', 'mahal', 'yg', 'driver', 'yg', 'ambil', 'orderannyasudah', 'pilih', 'yg', 'murah', 'mahal', 'nihil', 'enak', 'buruk']"
"sebagai pengguna lama baru kali ini saya kecewa sama aplikasi GO-JEK terutama gocar... sebelumnya saya tidak pernah ada masalah walau kadang tidak sesuai harapan dan tetap saya kasih bintang lima dan tip. tp ini sudah pakai prioritas, tetap dicancel driver dgn alasan jauh (pdhl di maps deket), harga ga sesuai (kan bukan saya yg kasih harga jg), driver yg beneran jauh posisinya (pdhl prioritas harusnya yg paling dekat)... akhirnya adu lama2an cancel order... makan waktu... makan ati... hiks...","['guna', 'kali', 'kecewa', 'aplikasi', 'gojek', 'gocar', 'kadang', 'sesuai', 'harap', 'kasih', 'bintang', 'tip', 'tp', 'pakai', 'prioritas', 'dicancel', 'driver', 'dgn', 'alas', 'pdhl', 'maps', 'deket', 'harga', 'ga', 'sesuai', 'yg', 'kasih', 'harga', 'jg', 'driver', 'yg', 'beneran', 'posisi', 'pdhl', 'prioritas', 'yg', 'adu', 'lama', 'cancel', 'order', 'makan', 'makan', 'ati', 'hiks']"
"saya biasanya soal makanan lebih sering order lewat online nah saya mencoba order lewat go food tidak pernah mendapatkan penganlaman yang baik, contoh driver selalu cemberut, eksprewi wajah seperti orang yang menantang, yang kedua beberapa kali saya order dengan pembayan tunai pasti mereka tidak punya kembalian padahal mereka tanpa mengecek dompet atau saku nya. karna kembalianya itu lumayan kadang Rp. 2700, Rp.4000, bahkan pernah hampir 7 ribu.","['makan', 'order', 'online', 'coba', 'order', 'go', 'food', 'penganlaman', 'contoh', 'driver', 'cemberut', 'eksprewi', 'wajah', 'orang', 'tantang', 'kali', 'order', 'pembayan', 'tunai', 'kembali', 'ecek', 'dompet', 'saku', 'nya', 'karna', 'kembalianya', 'lumayan', 'kadang', 'rp', 'rp', 'ribu']"
"Saya sudah lama pakai aplikasi gojek. Kurang lebih seminggu bisa 3x ada transaksi baik gofood/goride/gocar. Sebulan terakhir aplikasi gojek saya tidak ada lagi promo. Setelah saya hubungi CS, mereka sampaikan kalau akun saya diblokir karena melakukan pelanggaran promo, jadi aplikasi saya diberi sanksi, yaitu dihilangkan semua promonya. Saya tidak pernah melakukan pelanggaran. Saya tanyakan apa pelanggarannya, tidak pernah ada jawaban. Aneh banget!!!","['pakai', 'aplikasi', 'gojek', 'minggu', 'x', 'transaksi', 'gofoodgoridegocar', 'bulan', 'aplikasi', 'gojek', 'promo', 'hubung', 'cs', 'akun', 'blokir', 'langgar', 'promo', 'aplikasi', 'sanksi', 'hilang', 'promonya', 'langgar', 'langgar', 'aneh', 'banget']"
"pas butuh malah nggak bisa di setting lokasi, udah pake map tinggal ngikut settingan map yang kita pilih malah pake ada kata kata lokasi tidak bisa di setting..gilaaakk maunya apasih suruh setting sendiri malah kagak bisaa lah gmna mo pesen coba???","['pas', 'butuh', 'nggak', 'setting', 'lokasi', 'udah', 'pake', 'map', 'tinggal', 'ngikut', 'settingan', 'map', 'pilih', 'pake', 'lokasi', 'settinggilaaakk', 'mau', 'apasih', 'suruh', 'setting', 'kagak', 'bisaa', 'gmna', 'mo', 'sen', 'coba']"
saran saya ini kan aplikasi banyak digunakan jadi tolong untuk ongkos pengiriman dan juga ongkos perjalanan disesuaikan..... masa iya aplikasi sebesar ini menyamakan ongkos pengiriman dengan harga barang yang dibeli.... dan juga apabila pengguna baru apalagi daerah rumah belum termasuk kota besar jangan coba langganan go-jek plus karena nggak akan ada gunanya awal nya Saya mau mencoba tapi setelah di coba tidak ada fungsi nya Saya cukup kecewa dengan go-jek plus.....,"['saran', 'aplikasi', 'tolong', 'ongkos', 'kirim', 'ongkos', 'jalan', 'sesuai', 'iya', 'aplikasi', 'sama', 'ongkos', 'kirim', 'harga', 'barang', 'beli', 'guna', 'daerah', 'rumah', 'kota', 'coba', 'langgan', 'gojek', 'plus', 'nggak', 'guna', 'nya', 'coba', 'coba', 'fungsi', 'nya', 'kecewa', 'gojek', 'plus']"
"udah di download ga bisa padahal di situ ada keterangan via SMS Ama WhatsApp, setelah di masukin otp ga bisa padahal no masih sama,buat apa ada pilihan otp via SMS atau wa tolol ngabisin quota aja buat download, kalau ga bisa mending hapus aplikasi nya","['udah', 'download', 'ga', 'situ', 'terang', 'via', 'sms', 'ama', 'whatsapp', 'masukin', 'otp', 'ga', 'no', 'samabuat', 'pilih', 'otp', 'via', 'sms', 'wa', 'tolol', 'ngabisin', 'quota', 'aja', 'download', 'ga', 'mending', 'hapus', 'aplikasi', 'nya']"
"tanpa sebab atau alasan..paylater di blokir.. pinjaman bayar tempat waktu limitnya dari puluhan juta jadi 1juta.. aplikasi apa ni.. wkt pertama ksh limit besar..udh dapat bunga dari pinjaman,setelah lunas di bayar limit jadi 1jt.. gk jelas aplikasi ni.. pantasan banyak yg kasih bintang 1..","['alasanpaylater', 'blokir', 'pinjam', 'bayar', 'limit', 'puluh', 'juta', 'juta', 'aplikasi', 'ni', 'wkt', 'ksh', 'limit', 'besarudh', 'bunga', 'pinjamansetelah', 'lunas', 'bayar', 'limit', 'jt', 'gk', 'aplikasi', 'ni', 'pantas', 'yg', 'kasih', 'bintang']"
"aplikasi ampas, ngasih driver jauh trus driver minta cancel, dan akun tiba-tiba dibekukan karena kebanyakan cancel. Siapa juga yang mau cancel, makanya ngasih driver tuh yang Deket😮‍💨","['aplikasi', 'ampas', 'ngasih', 'driver', 'trus', 'driver', 'cancel', 'akun', 'tibatiba', 'beku', 'banyak', 'cancel', 'cancel', 'ngasih', 'driver', 'tuh', 'deket']"
"fitur batalkan pesanan gk berguna, gimanasih kalo misal kesalah pencet order, terus pengen batal tapi malah gk bisa belum juga 3 detik mau pencet batalkan pesanan, malah gk bisa, seenggaknya kalo misalkan pesanan gk bisa dibatalin voucher yang tertinggal bisa dipakelah atau tambahin verifikasi 2 langkah supaya gk ada kejadian kek gini, tolong ditambahkan verifikasi fitur verifikasi sebelum pemesanan","['fitur', 'batal', 'pesan', 'gk', 'guna', 'gimanasih', 'kalo', 'salah', 'pencet', 'order', 'ken', 'batal', 'gk', 'detik', 'pencet', 'batal', 'pesan', 'gk', 'enggak', 'kalo', 'pesan', 'gk', 'dibatalin', 'voucher', 'tinggal', 'dipakelah', 'tambahin', 'verifikasi', 'langkah', 'gk', 'jadi', 'kek', 'gin', 'tolong', 'verifikasi', 'fitur', 'verifikasi', 'mesan']"
"kenapa yang nganterin makanan gitu kadang ga punya kembalian sih? seenggaknya ada 10 ribuan kek atau 5 ribuan, atau engga 2 ribuan, ini kayaknya sepeser pun ga ada.. kesel harus nyari recehan terus kalau pelanggan lagi ga ada recehan.. maaf tolong diperhatikan lagi ya","['nganterin', 'makan', 'gitu', 'kadang', 'ga', 'kembali', 'sih', 'enggak', 'ribu', 'kek', 'ribu', 'engga', 'ribu', 'kayak', 'peser', 'ga', 'kesel', 'nyari', 'receh', 'langgan', 'ga', 'receh', 'maaf', 'tolong', 'perhati', 'ya']"
sering suruh nunggu lama untuk gofood. padahal aplikasi tidak bisa mencarikan driver. Bahkan sudah nunggu berjam-jam tiba-tiba transaksi batal. Sudah terjadi berkali-kali,"['suruh', 'nunggu', 'gofood', 'aplikasi', 'cari', 'driver', 'nunggu', 'berjamjam', 'tibatiba', 'transaksi', 'batal', 'berkalikali']"
"dear gojek kalo memang pengantaran expres kalian lebih sering telat mending gak usah di buat pilihan expres nya orang"" memilih expres dan penambahan biaya agar makan dapat segera di nikmati nyatanya keseringan telat saya akan tetap membiarkan review ini agak kalian dapat melakukan perbaikan 👎👎👎","['dear', 'gojek', 'kalo', 'antar', 'expres', 'telat', 'mending', 'gak', 'pilih', 'expres', 'nya', 'orang', 'pilih', 'expres', 'tambah', 'biaya', 'makan', 'nikmat', 'sering', 'telat', 'biar', 'review', 'baik', '']"
